,VIN,LPF_OUT
0,0,0
1,14407,1238
2,30389,5126
3,32767,10911
4,32767,17505
5,32767,23944
6,32767,29094
7,32767,32060
8,29689,32537
9,13834,30568
10,-2995,25651
11,-20438,18871
12,-32767,10949
13,-32767,1191
14,-32767,-8798
15,-32767,-18011
16,-32767,-25411
17,-32767,-30212
18,-32767,-32147
19,-20444,-31561
20,-3563,-27472
21,13890,-21615
22,29930,-14465
23,32767,-5262
24,32767,4282
25,32767,13115
26,32767,20222
27,32767,24792
28,29580,26469
29,13966,25865
30,-3071,21540
31,-20646,15805
32,-32767,8205
33,-32767,-1036
34,-32767,-10605
35,-32767,-19483
36,-32767,-26623
37,-32767,-31220
38,-32767,-32767
39,-20514,-32328
40,-3536,-27959
41,13965,-22134
42,29899,-14792
43,32767,-5540
44,32767,4060
45,32767,12925
46,32767,20071
47,32767,24681
48,29539,26336
49,14035,25874
50,-3109,21447
51,-20730,15867
52,-32767,8130
53,-32767,-1099
54,-32767,-10657
55,-32767,-19518
56,-32767,-26658
57,-32767,-31265
58,-32767,-32767
59,-20607,-32470
60,-3499,-27912
61,14051,-22240
62,29885,-14768
63,32767,-5527
64,32767,4072
65,32767,12929
66,32767,20078
67,32767,24697
68,29510,26319
69,14095,25954
70,-3140,21436
71,-20790,15969
72,-32767,8116
73,-32767,-1115
74,-32767,-10670
75,-32767,-19524
76,-32767,-26669
77,-32767,-31287
78,-32767,-32767
79,-20685,-32572
80,-3467,-27876
81,14113,-22322
82,29885,-14749
83,32767,-5515
84,32767,4084
85,32767,12934
86,32767,20086
87,32767,24712
88,29490,26310
89,14142,26016
90,-3162,21432
91,-20831,16048
92,-32767,8111
93,-32767,-1124
94,-32767,-10652
95,-32767,-19525
96,-32767,-26655
97,-32767,-31241
98,-32767,-32767
99,-20483,-32303
100,-3548,-28001
101,13933,-22115
102,29908,-14816
103,32767,-5556
104,32767,4046
105,32767,12916
106,32767,20063
107,32767,24670
108,29550,26338
109,14015,25843
110,-3098,21449
111,-20707,15830
112,-32767,8135
113,-32767,-1094
114,-32767,-10652
115,-32767,-19516
116,-32767,-26655
117,-32767,-31258
118,-32767,-32767
119,-20581,-32434
120,-3509,-27927
121,14028,-22212
122,29887,-14776
123,32767,-5532
124,32767,4067
125,32767,12927
126,32767,20076
127,32767,24692
128,29518,26323
129,14079,25932
130,-3131,21438
131,-20775,15941
132,-32767,8119
133,-32767,-1111
134,-32767,-10667
135,-32767,-19522
136,-32767,-26666
137,-32767,-31281
138,-32767,-32767
139,-20663,-32545
140,-3476,-27885
141,14096,-22300
142,29884,-14754
143,32767,-5518
144,32767,4081
145,32767,12932
146,32767,20084
147,32767,24708
148,29495,26312
149,14129,25999
150,-3156,21433
151,-20821,16026
152,-32767,8112
153,-32767,-1121
154,-32767,-10649
155,-32767,-19524
156,-32767,-26653
157,-32767,-31236
158,-32767,-32767
159,-20462,-32272
160,-3556,-28019
161,13910,-22094
162,29916,-14825
163,32767,-5561
164,32767,4042
165,32767,12914
166,32767,20060
167,32767,24665
168,29559,26343
169,14000,25822
170,-3090,21453
171,-20690,15804
172,-32767,8140
173,-32767,-1090
174,-32767,-10649
175,-32767,-19515
176,-32767,-26653
177,-32767,-31252
178,-32767,-32767
179,-20562,-32408
180,-3517,-27938
181,14010,-22192
182,29889,-14782
183,32767,-5536
184,32767,4064
185,32767,12925
186,32767,20074
187,32767,24688
188,29523,26325
189,14066,25916
190,-3125,21440
191,-20763,15920
192,-32767,8122
193,-32767,-1108
194,-32767,-10664
195,-32767,-19521
196,-32767,-26664
197,-32767,-31277
198,-32767,-32767
199,-20648,-32524
200,-3277,-29155
