0.00000,0.00000
0.92740,0.15643
0.99997,0.53421
0.99997,0.88788
0.90604,0.99295
-0.09140,0.78281
-0.99997,0.33414
-0.99997,-0.26849
-0.99997,-0.77548
-0.99997,-0.98105
-0.10873,-0.83838
0.91339,-0.44144
0.99997,0.13068
0.99997,0.61713
0.90271,0.80777
-0.09372,0.65735
-0.99997,0.25040
-0.99997,-0.32364
-0.99997,-0.81247
-0.99997,-0.99997
-0.10791,-0.85324
0.91245,-0.45142
0.99997,0.12390
0.99997,0.61252
0.90146,0.80371
-0.09488,0.65451
-0.99997,0.24811
-0.99997,-0.32523
-0.99997,-0.81354
-0.99997,-0.99997
-0.10678,-0.85181
0.91202,-0.45068
0.99997,0.12427
0.99997,0.61273
0.90057,0.80319
-0.09583,0.65417
-0.99997,0.24768
-0.99997,-0.32562
-0.99997,-0.81387
-0.99997,-0.99997
-0.10580,-0.85071
0.91202,-0.45010
0.99997,0.12463
0.99997,0.61298
0.89996,0.80292
-0.09650,0.65405
-0.99997,0.24753
-0.99997,-0.32507
-0.99997,-0.81345
-0.99997,-0.99997
-0.10828,-0.85452
0.91272,-0.45215
0.99997,0.12347
0.99997,0.61227
0.90179,0.80377
-0.09454,0.65457
-0.99997,0.24826
-0.99997,-0.32507
-0.99997,-0.81345
-0.99997,-0.99997
-0.10709,-0.85226
0.91208,-0.45093
0.99997,0.12411
0.99997,0.61267
0.90082,0.80331
-0.09555,0.65424
-0.99997,0.24777
-0.99997,-0.32553
-0.99997,-0.81378
-0.99997,-0.99997
-0.10608,-0.85098
0.91199,-0.45026
0.99997,0.12454
0.99997,0.61292
0.90012,0.80298
-0.09631,0.65408
-0.99997,0.24756
-0.99997,-0.32498
-0.99997,-0.81339
-0.99997,-0.99997
-0.10852,-0.85507
0.91296,-0.45242
0.99997,0.12335
0.99997,0.61218
0.90207,0.80392
-0.09430,0.65469
-0.99997,0.24841
-0.99997,-0.32498
-0.99997,-0.81339
-0.99997,-0.99997
-0.10733,-0.85260
0.91214,-0.45111
0.99997,0.12402
0.99997,0.61261
0.90097,0.80338
-0.09537,0.65430
-0.99997,0.24786
-0.99997,-0.32544
-0.99997,-0.81372
-0.99997,-0.99997
